Number of solutions: 120

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 6, LOR @ CEN, E, COE @ BVU, C, DBQ @ NWU, A, LUT @ WAR, D, 
Week: 7, NWU @ LOR, C, BVU @ LUT, E, WAR @ DBQ, B, SIM @ COE, D, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, D, CEN @ NWU, B, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, A, WAR @ CEN, D, COE @ LUT, E, 
Week: 1, LOR @ SIM, D, CEN @ BVU, A, DBQ @ COE, B, NWU @ WAR, C, 
Week: 2, COE @ LOR, A, BVU @ NWU, E, LUT @ DBQ, C, SIM @ CEN, B, 
Week: 3, LOR @ LUT, D, WAR @ BVU, B, NWU @ SIM, A, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, E, LUT @ CEN, A, COE @ NWU, D, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, E, WAR @ COE, A, NWU @ LUT, B, 
Week: 6, LOR @ CEN, C, COE @ BVU, E, DBQ @ NWU, A, LUT @ WAR, D, 
Week: 7, NWU @ LOR, E, BVU @ LUT, C, WAR @ DBQ, B, SIM @ COE, D, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, D, CEN @ NWU, B, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, A, WAR @ CEN, E, COE @ LUT, C, 
Week: 1, LOR @ SIM, E, CEN @ BVU, A, DBQ @ COE, B, NWU @ WAR, D, 
Week: 2, COE @ LOR, A, BVU @ NWU, C, LUT @ DBQ, D, SIM @ CEN, B, 
Week: 3, LOR @ LUT, E, WAR @ BVU, B, NWU @ SIM, A, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, C, LUT @ CEN, A, COE @ NWU, E, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, C, WAR @ COE, A, NWU @ LUT, B, 
Week: 6, LOR @ CEN, D, COE @ BVU, C, DBQ @ NWU, A, LUT @ WAR, E, 
Week: 7, NWU @ LOR, C, BVU @ LUT, D, WAR @ DBQ, B, SIM @ COE, E, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, E, CEN @ NWU, B, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, A, WAR @ CEN, E, COE @ LUT, D, 
Week: 1, LOR @ SIM, E, CEN @ BVU, A, DBQ @ COE, B, NWU @ WAR, C, 
Week: 2, COE @ LOR, A, BVU @ NWU, D, LUT @ DBQ, C, SIM @ CEN, B, 
Week: 3, LOR @ LUT, E, WAR @ BVU, B, NWU @ SIM, A, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, D, LUT @ CEN, A, COE @ NWU, E, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, D, WAR @ COE, A, NWU @ LUT, B, 
Week: 6, LOR @ CEN, C, COE @ BVU, D, DBQ @ NWU, A, LUT @ WAR, E, 
Week: 7, NWU @ LOR, D, BVU @ LUT, C, WAR @ DBQ, B, SIM @ COE, E, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, E, CEN @ NWU, B, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, C, WAR @ CEN, A, COE @ LUT, D, 
Week: 1, LOR @ SIM, A, CEN @ BVU, C, DBQ @ COE, B, NWU @ WAR, E, 
Week: 2, COE @ LOR, C, BVU @ NWU, D, LUT @ DBQ, E, SIM @ CEN, B, 
Week: 3, LOR @ LUT, A, WAR @ BVU, B, NWU @ SIM, C, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, D, LUT @ CEN, C, COE @ NWU, A, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, D, WAR @ COE, C, NWU @ LUT, B, 
Week: 6, LOR @ CEN, E, COE @ BVU, D, DBQ @ NWU, C, LUT @ WAR, A, 
Week: 7, NWU @ LOR, D, BVU @ LUT, E, WAR @ DBQ, B, SIM @ COE, A, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, A, CEN @ NWU, B, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, C, WAR @ CEN, A, COE @ LUT, E, 
Week: 1, LOR @ SIM, A, CEN @ BVU, C, DBQ @ COE, B, NWU @ WAR, D, 
Week: 2, COE @ LOR, C, BVU @ NWU, E, LUT @ DBQ, D, SIM @ CEN, B, 
Week: 3, LOR @ LUT, A, WAR @ BVU, B, NWU @ SIM, C, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, E, LUT @ CEN, C, COE @ NWU, A, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, E, WAR @ COE, C, NWU @ LUT, B, 
Week: 6, LOR @ CEN, D, COE @ BVU, E, DBQ @ NWU, C, LUT @ WAR, A, 
Week: 7, NWU @ LOR, E, BVU @ LUT, D, WAR @ DBQ, B, SIM @ COE, A, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, A, CEN @ NWU, B, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, C, WAR @ CEN, D, COE @ LUT, A, 
Week: 1, LOR @ SIM, D, CEN @ BVU, C, DBQ @ COE, B, NWU @ WAR, E, 
Week: 2, COE @ LOR, C, BVU @ NWU, A, LUT @ DBQ, E, SIM @ CEN, B, 
Week: 3, LOR @ LUT, D, WAR @ BVU, B, NWU @ SIM, C, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, A, LUT @ CEN, C, COE @ NWU, D, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, A, WAR @ COE, C, NWU @ LUT, B, 
Week: 6, LOR @ CEN, E, COE @ BVU, A, DBQ @ NWU, C, LUT @ WAR, D, 
Week: 7, NWU @ LOR, A, BVU @ LUT, E, WAR @ DBQ, B, SIM @ COE, D, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, D, CEN @ NWU, B, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, C, WAR @ CEN, D, COE @ LUT, E, 
Week: 1, LOR @ SIM, D, CEN @ BVU, C, DBQ @ COE, B, NWU @ WAR, A, 
Week: 2, COE @ LOR, C, BVU @ NWU, E, LUT @ DBQ, A, SIM @ CEN, B, 
Week: 3, LOR @ LUT, D, WAR @ BVU, B, NWU @ SIM, C, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, E, LUT @ CEN, C, COE @ NWU, D, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, E, WAR @ COE, C, NWU @ LUT, B, 
Week: 6, LOR @ CEN, A, COE @ BVU, E, DBQ @ NWU, C, LUT @ WAR, D, 
Week: 7, NWU @ LOR, E, BVU @ LUT, A, WAR @ DBQ, B, SIM @ COE, D, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, D, CEN @ NWU, B, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, C, WAR @ CEN, E, COE @ LUT, A, 
Week: 1, LOR @ SIM, E, CEN @ BVU, C, DBQ @ COE, B, NWU @ WAR, D, 
Week: 2, COE @ LOR, C, BVU @ NWU, A, LUT @ DBQ, D, SIM @ CEN, B, 
Week: 3, LOR @ LUT, E, WAR @ BVU, B, NWU @ SIM, C, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, A, LUT @ CEN, C, COE @ NWU, E, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, A, WAR @ COE, C, NWU @ LUT, B, 
Week: 6, LOR @ CEN, D, COE @ BVU, A, DBQ @ NWU, C, LUT @ WAR, E, 
Week: 7, NWU @ LOR, A, BVU @ LUT, D, WAR @ DBQ, B, SIM @ COE, E, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, E, CEN @ NWU, B, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, C, WAR @ CEN, E, COE @ LUT, D, 
Week: 1, LOR @ SIM, E, CEN @ BVU, C, DBQ @ COE, B, NWU @ WAR, A, 
Week: 2, COE @ LOR, C, BVU @ NWU, D, LUT @ DBQ, A, SIM @ CEN, B, 
Week: 3, LOR @ LUT, E, WAR @ BVU, B, NWU @ SIM, C, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, D, LUT @ CEN, C, COE @ NWU, E, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, D, WAR @ COE, C, NWU @ LUT, B, 
Week: 6, LOR @ CEN, A, COE @ BVU, D, DBQ @ NWU, C, LUT @ WAR, E, 
Week: 7, NWU @ LOR, D, BVU @ LUT, A, WAR @ DBQ, B, SIM @ COE, E, 
Week: 8, LOR @ WAR, C, DBQ @ BVU, E, CEN @ NWU, B, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, D, WAR @ CEN, A, COE @ LUT, C, 
Week: 1, LOR @ SIM, A, CEN @ BVU, D, DBQ @ COE, B, NWU @ WAR, E, 
Week: 2, COE @ LOR, D, BVU @ NWU, C, LUT @ DBQ, E, SIM @ CEN, B, 
Week: 3, LOR @ LUT, A, WAR @ BVU, B, NWU @ SIM, D, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, C, LUT @ CEN, D, COE @ NWU, A, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, C, WAR @ COE, D, NWU @ LUT, B, 
Week: 6, LOR @ CEN, E, COE @ BVU, C, DBQ @ NWU, D, LUT @ WAR, A, 
Week: 7, NWU @ LOR, C, BVU @ LUT, E, WAR @ DBQ, B, SIM @ COE, A, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, A, CEN @ NWU, B, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, D, WAR @ CEN, A, COE @ LUT, E, 
Week: 1, LOR @ SIM, A, CEN @ BVU, D, DBQ @ COE, B, NWU @ WAR, C, 
Week: 2, COE @ LOR, D, BVU @ NWU, E, LUT @ DBQ, C, SIM @ CEN, B, 
Week: 3, LOR @ LUT, A, WAR @ BVU, B, NWU @ SIM, D, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, E, LUT @ CEN, D, COE @ NWU, A, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, E, WAR @ COE, D, NWU @ LUT, B, 
Week: 6, LOR @ CEN, C, COE @ BVU, E, DBQ @ NWU, D, LUT @ WAR, A, 
Week: 7, NWU @ LOR, E, BVU @ LUT, C, WAR @ DBQ, B, SIM @ COE, A, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, A, CEN @ NWU, B, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, D, WAR @ CEN, C, COE @ LUT, A, 
Week: 1, LOR @ SIM, C, CEN @ BVU, D, DBQ @ COE, B, NWU @ WAR, E, 
Week: 2, COE @ LOR, D, BVU @ NWU, A, LUT @ DBQ, E, SIM @ CEN, B, 
Week: 3, LOR @ LUT, C, WAR @ BVU, B, NWU @ SIM, D, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, A, LUT @ CEN, D, COE @ NWU, C, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, A, WAR @ COE, D, NWU @ LUT, B, 
Week: 6, LOR @ CEN, E, COE @ BVU, A, DBQ @ NWU, D, LUT @ WAR, C, 
Week: 7, NWU @ LOR, A, BVU @ LUT, E, WAR @ DBQ, B, SIM @ COE, C, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, C, CEN @ NWU, B, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, D, WAR @ CEN, C, COE @ LUT, E, 
Week: 1, LOR @ SIM, C, CEN @ BVU, D, DBQ @ COE, B, NWU @ WAR, A, 
Week: 2, COE @ LOR, D, BVU @ NWU, E, LUT @ DBQ, A, SIM @ CEN, B, 
Week: 3, LOR @ LUT, C, WAR @ BVU, B, NWU @ SIM, D, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, E, LUT @ CEN, D, COE @ NWU, C, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, E, WAR @ COE, D, NWU @ LUT, B, 
Week: 6, LOR @ CEN, A, COE @ BVU, E, DBQ @ NWU, D, LUT @ WAR, C, 
Week: 7, NWU @ LOR, E, BVU @ LUT, A, WAR @ DBQ, B, SIM @ COE, C, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, C, CEN @ NWU, B, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, D, WAR @ CEN, E, COE @ LUT, A, 
Week: 1, LOR @ SIM, E, CEN @ BVU, D, DBQ @ COE, B, NWU @ WAR, C, 
Week: 2, COE @ LOR, D, BVU @ NWU, A, LUT @ DBQ, C, SIM @ CEN, B, 
Week: 3, LOR @ LUT, E, WAR @ BVU, B, NWU @ SIM, D, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, A, LUT @ CEN, D, COE @ NWU, E, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, A, WAR @ COE, D, NWU @ LUT, B, 
Week: 6, LOR @ CEN, C, COE @ BVU, A, DBQ @ NWU, D, LUT @ WAR, E, 
Week: 7, NWU @ LOR, A, BVU @ LUT, C, WAR @ DBQ, B, SIM @ COE, E, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, E, CEN @ NWU, B, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, D, WAR @ CEN, E, COE @ LUT, C, 
Week: 1, LOR @ SIM, E, CEN @ BVU, D, DBQ @ COE, B, NWU @ WAR, A, 
Week: 2, COE @ LOR, D, BVU @ NWU, C, LUT @ DBQ, A, SIM @ CEN, B, 
Week: 3, LOR @ LUT, E, WAR @ BVU, B, NWU @ SIM, D, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, C, LUT @ CEN, D, COE @ NWU, E, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, C, WAR @ COE, D, NWU @ LUT, B, 
Week: 6, LOR @ CEN, A, COE @ BVU, C, DBQ @ NWU, D, LUT @ WAR, E, 
Week: 7, NWU @ LOR, C, BVU @ LUT, A, WAR @ DBQ, B, SIM @ COE, E, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, E, CEN @ NWU, B, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, E, WAR @ CEN, A, COE @ LUT, C, 
Week: 1, LOR @ SIM, A, CEN @ BVU, E, DBQ @ COE, B, NWU @ WAR, D, 
Week: 2, COE @ LOR, E, BVU @ NWU, C, LUT @ DBQ, D, SIM @ CEN, B, 
Week: 3, LOR @ LUT, A, WAR @ BVU, B, NWU @ SIM, E, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, C, LUT @ CEN, E, COE @ NWU, A, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, C, WAR @ COE, E, NWU @ LUT, B, 
Week: 6, LOR @ CEN, D, COE @ BVU, C, DBQ @ NWU, E, LUT @ WAR, A, 
Week: 7, NWU @ LOR, C, BVU @ LUT, D, WAR @ DBQ, B, SIM @ COE, A, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, A, CEN @ NWU, B, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, E, WAR @ CEN, A, COE @ LUT, D, 
Week: 1, LOR @ SIM, A, CEN @ BVU, E, DBQ @ COE, B, NWU @ WAR, C, 
Week: 2, COE @ LOR, E, BVU @ NWU, D, LUT @ DBQ, C, SIM @ CEN, B, 
Week: 3, LOR @ LUT, A, WAR @ BVU, B, NWU @ SIM, E, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, D, LUT @ CEN, E, COE @ NWU, A, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, D, WAR @ COE, E, NWU @ LUT, B, 
Week: 6, LOR @ CEN, C, COE @ BVU, D, DBQ @ NWU, E, LUT @ WAR, A, 
Week: 7, NWU @ LOR, D, BVU @ LUT, C, WAR @ DBQ, B, SIM @ COE, A, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, A, CEN @ NWU, B, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, E, WAR @ CEN, C, COE @ LUT, A, 
Week: 1, LOR @ SIM, C, CEN @ BVU, E, DBQ @ COE, B, NWU @ WAR, D, 
Week: 2, COE @ LOR, E, BVU @ NWU, A, LUT @ DBQ, D, SIM @ CEN, B, 
Week: 3, LOR @ LUT, C, WAR @ BVU, B, NWU @ SIM, E, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, A, LUT @ CEN, E, COE @ NWU, C, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, A, WAR @ COE, E, NWU @ LUT, B, 
Week: 6, LOR @ CEN, D, COE @ BVU, A, DBQ @ NWU, E, LUT @ WAR, C, 
Week: 7, NWU @ LOR, A, BVU @ LUT, D, WAR @ DBQ, B, SIM @ COE, C, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, C, CEN @ NWU, B, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, E, WAR @ CEN, C, COE @ LUT, D, 
Week: 1, LOR @ SIM, C, CEN @ BVU, E, DBQ @ COE, B, NWU @ WAR, A, 
Week: 2, COE @ LOR, E, BVU @ NWU, D, LUT @ DBQ, A, SIM @ CEN, B, 
Week: 3, LOR @ LUT, C, WAR @ BVU, B, NWU @ SIM, E, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, D, LUT @ CEN, E, COE @ NWU, C, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, D, WAR @ COE, E, NWU @ LUT, B, 
Week: 6, LOR @ CEN, A, COE @ BVU, D, DBQ @ NWU, E, LUT @ WAR, C, 
Week: 7, NWU @ LOR, D, BVU @ LUT, A, WAR @ DBQ, B, SIM @ COE, C, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, C, CEN @ NWU, B, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, E, WAR @ CEN, D, COE @ LUT, A, 
Week: 1, LOR @ SIM, D, CEN @ BVU, E, DBQ @ COE, B, NWU @ WAR, C, 
Week: 2, COE @ LOR, E, BVU @ NWU, A, LUT @ DBQ, C, SIM @ CEN, B, 
Week: 3, LOR @ LUT, D, WAR @ BVU, B, NWU @ SIM, E, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, A, LUT @ CEN, E, COE @ NWU, D, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, A, WAR @ COE, E, NWU @ LUT, B, 
Week: 6, LOR @ CEN, C, COE @ BVU, A, DBQ @ NWU, E, LUT @ WAR, D, 
Week: 7, NWU @ LOR, A, BVU @ LUT, C, WAR @ DBQ, B, SIM @ COE, D, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, D, CEN @ NWU, B, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, B, SIM @ DBQ, E, WAR @ CEN, D, COE @ LUT, C, 
Week: 1, LOR @ SIM, D, CEN @ BVU, E, DBQ @ COE, B, NWU @ WAR, A, 
Week: 2, COE @ LOR, E, BVU @ NWU, C, LUT @ DBQ, A, SIM @ CEN, B, 
Week: 3, LOR @ LUT, D, WAR @ BVU, B, NWU @ SIM, E, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, C, LUT @ CEN, E, COE @ NWU, D, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, C, WAR @ COE, E, NWU @ LUT, B, 
Week: 6, LOR @ CEN, A, COE @ BVU, C, DBQ @ NWU, E, LUT @ WAR, D, 
Week: 7, NWU @ LOR, C, BVU @ LUT, A, WAR @ DBQ, B, SIM @ COE, D, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, D, CEN @ NWU, B, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, A, WAR @ CEN, B, COE @ LUT, D, 
Week: 1, LOR @ SIM, B, CEN @ BVU, A, DBQ @ COE, C, NWU @ WAR, E, 
Week: 2, COE @ LOR, A, BVU @ NWU, D, LUT @ DBQ, E, SIM @ CEN, C, 
Week: 3, LOR @ LUT, B, WAR @ BVU, C, NWU @ SIM, A, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, D, LUT @ CEN, A, COE @ NWU, B, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, D, WAR @ COE, A, NWU @ LUT, C, 
Week: 6, LOR @ CEN, E, COE @ BVU, D, DBQ @ NWU, A, LUT @ WAR, B, 
Week: 7, NWU @ LOR, D, BVU @ LUT, E, WAR @ DBQ, C, SIM @ COE, B, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, B, CEN @ NWU, C, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, A, WAR @ CEN, B, COE @ LUT, E, 
Week: 1, LOR @ SIM, B, CEN @ BVU, A, DBQ @ COE, C, NWU @ WAR, D, 
Week: 2, COE @ LOR, A, BVU @ NWU, E, LUT @ DBQ, D, SIM @ CEN, C, 
Week: 3, LOR @ LUT, B, WAR @ BVU, C, NWU @ SIM, A, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, E, LUT @ CEN, A, COE @ NWU, B, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, E, WAR @ COE, A, NWU @ LUT, C, 
Week: 6, LOR @ CEN, D, COE @ BVU, E, DBQ @ NWU, A, LUT @ WAR, B, 
Week: 7, NWU @ LOR, E, BVU @ LUT, D, WAR @ DBQ, C, SIM @ COE, B, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, B, CEN @ NWU, C, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, A, WAR @ CEN, D, COE @ LUT, B, 
Week: 1, LOR @ SIM, D, CEN @ BVU, A, DBQ @ COE, C, NWU @ WAR, E, 
Week: 2, COE @ LOR, A, BVU @ NWU, B, LUT @ DBQ, E, SIM @ CEN, C, 
Week: 3, LOR @ LUT, D, WAR @ BVU, C, NWU @ SIM, A, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, B, LUT @ CEN, A, COE @ NWU, D, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, B, WAR @ COE, A, NWU @ LUT, C, 
Week: 6, LOR @ CEN, E, COE @ BVU, B, DBQ @ NWU, A, LUT @ WAR, D, 
Week: 7, NWU @ LOR, B, BVU @ LUT, E, WAR @ DBQ, C, SIM @ COE, D, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, D, CEN @ NWU, C, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, A, WAR @ CEN, D, COE @ LUT, E, 
Week: 1, LOR @ SIM, D, CEN @ BVU, A, DBQ @ COE, C, NWU @ WAR, B, 
Week: 2, COE @ LOR, A, BVU @ NWU, E, LUT @ DBQ, B, SIM @ CEN, C, 
Week: 3, LOR @ LUT, D, WAR @ BVU, C, NWU @ SIM, A, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, E, LUT @ CEN, A, COE @ NWU, D, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, E, WAR @ COE, A, NWU @ LUT, C, 
Week: 6, LOR @ CEN, B, COE @ BVU, E, DBQ @ NWU, A, LUT @ WAR, D, 
Week: 7, NWU @ LOR, E, BVU @ LUT, B, WAR @ DBQ, C, SIM @ COE, D, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, D, CEN @ NWU, C, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, A, WAR @ CEN, E, COE @ LUT, B, 
Week: 1, LOR @ SIM, E, CEN @ BVU, A, DBQ @ COE, C, NWU @ WAR, D, 
Week: 2, COE @ LOR, A, BVU @ NWU, B, LUT @ DBQ, D, SIM @ CEN, C, 
Week: 3, LOR @ LUT, E, WAR @ BVU, C, NWU @ SIM, A, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, B, LUT @ CEN, A, COE @ NWU, E, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, B, WAR @ COE, A, NWU @ LUT, C, 
Week: 6, LOR @ CEN, D, COE @ BVU, B, DBQ @ NWU, A, LUT @ WAR, E, 
Week: 7, NWU @ LOR, B, BVU @ LUT, D, WAR @ DBQ, C, SIM @ COE, E, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, E, CEN @ NWU, C, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, A, WAR @ CEN, E, COE @ LUT, D, 
Week: 1, LOR @ SIM, E, CEN @ BVU, A, DBQ @ COE, C, NWU @ WAR, B, 
Week: 2, COE @ LOR, A, BVU @ NWU, D, LUT @ DBQ, B, SIM @ CEN, C, 
